fold,gp,rmse_global,mae_global,r2_global,train_rows,test_rows,rmse_local,mae_local,r2_local,winner
1,Abu Dhabi Grand Prix,1.820470266903475,1.1369043286243732,0.9046068640533754,29079,1330,0.6630686025338196,0.1920961267247911,0.9846309567220256,local
2,Australian Grand Prix,3.919272364584566,2.137296394123751,0.9093424410714092,29176,1233,1.1624018852218845,0.552676674304281,0.9914675953056,local
3,Austrian Grand Prix,3.479019971845098,2.66408963336909,0.9124376932229468,28807,1602,0.930951869440366,0.3126976518950354,0.993920282145702,local
4,Azerbaijan Grand Prix,4.601527685329454,2.6979532694713586,0.7792170140965942,29268,1141,0.5327053082174337,0.22356532236368,0.9964658590823096,local
5,Bahrain Grand Prix,3.3405746172503714,1.9915210073575584,0.8488847910872621,29197,1212,1.1246336858961976,0.3173366533507963,0.9849244455856476,local
6,Belgian Grand Prix,2.4339949973105504,1.5542474618118691,0.8930112232639508,29366,1043,0.8667379190553993,0.4460944231464099,0.9897291267912942,local
7,British Grand Prix,1.2636834320242067,0.7885195557301942,0.9926770011620016,29171,1238,0.6810648202519561,0.3205438600091505,0.9974609748548432,local
8,Canadian Grand Prix,3.579408723972135,2.007841081132434,0.9055249898823924,28756,1653,1.3135356658988817,0.40052163446411,0.9885521923274868,local
9,Dutch Grand Prix,3.8645105140647016,2.771737513396178,0.931284249506749,28715,1694,0.9106560395953938,0.4685409032367054,0.9961309115845172,local
10,Hungarian Grand Prix,1.5760533305337925,1.0905718561926077,0.9602266337874696,28930,1479,0.6281512506085767,0.2335103744499483,0.994218997592643,local
11,Italian Grand Prix,3.4342753325630118,2.972211201550448,0.7844359658569884,29233,1176,0.6293244098810724,0.2010555632649841,0.992440726299872,local
12,Japanese Grand Prix,4.062763642665852,2.2947741323787407,0.8431107832759435,29453,956,0.6465977591709628,0.2523913880075945,0.99573323435352,local
13,Las Vegas Grand Prix,3.1695431968168464,2.164491321477762,0.9107420946362844,29275,1134,0.9213603372251252,0.4545361712101015,0.994176297791386,local
14,Mexico City Grand Prix,3.9003618436283713,2.2253610471953187,0.8182388185907743,28983,1426,0.7307383400138387,0.2533366344658775,0.99498089885342,local
15,Miami Grand Prix,3.502153525504323,1.7725718736474636,0.8311821815760799,29064,1345,1.3198351508715898,0.3758602434730702,0.9739363500297517,local
16,Monaco Grand Prix,18.664197846804395,18.01959582265425,-1.362193861420467,28567,1842,0.6788312728555745,0.33918216747731,0.9966487119771258,local
17,Pre-Season Testing,1.291713963137708,0.8166050517468608,0.9923485262865864,29171,1238,0.6810648202519561,0.3205438600091505,0.9974609748548432,local
18,Qatar Grand Prix,4.750817345078315,3.4282144450713985,0.8840170884486217,29164,1245,0.7990937537542844,0.316088404959674,0.9970101396206368,local
19,Saudi Arabian Grand Prix,4.191949172881218,2.118366018068274,0.8635497116226956,29248,1161,2.238188495206321,0.5863103031515756,0.9666961595789594,local
20,Singapore Grand Prix,4.592969998229801,3.4492336163144204,0.8504631003273874,29166,1243,1.095520632619814,0.2935730373055844,0.9893913679680092,local
21,Spanish Grand Prix,3.415656260547621,2.023241210846647,0.8356762278630516,28892,1517,1.3045490137904887,0.2552748993054571,0.9792708797560028,local
22,São Paulo Grand Prix,4.098814330382268,2.4344289010216005,0.8912753201806134,29116,1293,1.1310423611228098,0.3760337214939955,0.9884599760121848,local
23,United States Grand Prix,2.4696276355145192,1.7555214377428965,0.874064864597444,29201,1208,0.4888281470540843,0.1887954545089939,0.9949724884124946,local
