fold,test_gp,rmse,mae,r2,train_rows,test_rows
1,Abu Dhabi Grand Prix,0.9585102973070121,0.7499770173091372,0.24301818301407163,19232,1087
2,Australian Grand Prix,0.9454125502175829,0.7583574069569227,0.3114111602925239,19580,739
3,Austrian Grand Prix,1.1327601716636684,0.9180821961916792,-0.42663537529648354,19133,1186
4,Azerbaijan Grand Prix,0.9036023282187852,0.7298274389889413,0.41782434708061567,19489,830
5,Bahrain Grand Prix,1.0966235771788373,0.8739860177855595,0.2250217778048934,19407,912
6,Belgian Grand Prix,1.3270084962457547,1.131703407556599,0.16532940519652362,19641,678
7,British Grand Prix,0.8969190324289094,0.7127617481800756,0.2108316326598747,19508,811
8,Canadian Grand Prix,0.8084618675267726,0.6487000807617456,0.29780420453571865,19183,1136
9,Dutch Grand Prix,1.264618774637964,1.0508504357289126,-0.10419429729190499,19562,757
10,Hungarian Grand Prix,1.0138422089569121,0.8380776589332338,0.18496363793625958,19163,1156
11,Italian Grand Prix,0.6957028564270601,0.5422129601084664,0.01608577068955941,19447,872
12,Japanese Grand Prix,1.0737792445302967,0.8577223934509521,0.25583011984412163,19613,706
13,Las Vegas Grand Prix,1.2765692177653454,1.0756973159228365,0.213295367484305,19624,695
14,Mexico City Grand Prix,0.811446508219327,0.6555497226562773,0.3142725390848303,19198,1121
15,Miami Grand Prix,0.7501999777769299,0.5979990005440228,0.31377536208079704,19250,1069
16,Monaco Grand Prix,1.1908775459700092,1.0112264534525226,-0.04063964570787815,19355,964
17,Qatar Grand Prix,1.4001164204420926,1.1842794614410568,0.12679277160747804,19550,769
18,Saudi Arabian Grand Prix,1.0669413928265115,0.8880641986063978,0.2916037916619616,19506,813
19,Singapore Grand Prix,1.0302339023724176,0.7450858961253584,0.19271802511111003,19408,911
20,Spanish Grand Prix,1.0654624543817557,0.9087963428459505,0.1533620543644063,19118,1201
21,São Paulo Grand Prix,0.9006824538848318,0.7353880871470884,0.15556696436361916,19351,968
22,United States Grand Prix,1.0391237533856283,0.8511731058859913,0.24067313152612002,19381,938
