Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,CompoundEncoded,lap_time_mean_3,lap_time_delta,tyre_ratio,stint_progress,is_raining
RIC,3,AlphaTauri,12.0,4.0,SOFT,3.0,0.0,114.641,21.544,47.982,45.115,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:54:02.376000,26.7,67.0,1014.5,0,31.3,268,1.6,0,100.74399999999999,30.199000000000012,0.5,1.0,0
NOR,4,McLaren,2.0,1.0,SOFT,2.0,0.0,84.368,17.183,36.546,30.639,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:22:02.222000,26.9,66.0,1014.2,0,32.5,270,2.0,0,0.0,0.0,0.4,0.5,0
NOR,4,McLaren,3.0,1.0,SOFT,3.0,0.0,105.7,20.964,44.22,40.516,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:24:02.236000,26.9,66.0,1014.2,0,32.5,252,1.7,0,0.0,21.332000000000008,0.6,1.0,0
NOR,4,McLaren,5.0,2.0,SOFT,2.0,0.0,106.467,20.881,44.311,41.275,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:33:02.320000,26.8,65.0,1014.4,0,32.2,266,2.0,0,98.84499999999998,0.7669999999999959,0.4,1.0,0
NOR,4,McLaren,7.0,3.0,SOFT,4.0,0.0,83.92,17.128,36.314,30.478,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:46:02.369000,26.7,66.0,1014.5,0,31.9,258,1.7,0,98.69566666666667,-22.546999999999997,0.8,0.5,0
NOR,4,McLaren,8.0,3.0,SOFT,5.0,0.0,103.757,19.564,43.849,40.344,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:47:02.368000,26.7,66.0,1014.5,0,31.9,259,1.8,0,98.048,19.837000000000003,1.0,1.0,0
NOR,4,McLaren,10.0,4.0,SOFT,2.0,0.0,109.828,20.142,46.207,43.479,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:55:02.375000,26.6,67.0,1014.7,0,31.3,261,1.5,0,99.16833333333334,6.070999999999998,0.4,1.0,0
NOR,4,McLaren,12.0,5.0,SOFT,4.0,0.0,83.816,17.148,36.256,30.412,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:06:02.410000,26.4,68.0,1014.7,0,30.8,288,1.2,0,99.13366666666667,-26.012,0.8,0.5,0
NOR,4,McLaren,13.0,5.0,SOFT,5.0,0.0,101.38,19.659,43.615,38.106,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:07:02.425000,26.4,68.0,1014.7,0,30.8,259,1.2,0,98.34133333333334,17.563999999999993,1.0,1.0,0
NOR,4,McLaren,15.0,6.0,SOFT,2.0,0.0,83.952,17.076,36.087,30.789,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:13:02.481000,26.4,67.0,1014.9,0,31.0,264,1.2,0,89.71600000000001,-17.427999999999997,0.4,0.5,0
NOR,4,McLaren,16.0,6.0,SOFT,3.0,0.0,110.757,23.834,47.194,39.729,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:15:02.479000,26.3,68.0,1014.9,0,30.7,284,0.8,0,98.69633333333333,26.805000000000007,0.6,1.0,0
GAS,10,Alpine,2.0,1.0,SOFT,2.0,0.0,85.395,17.462,36.66,31.273,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:23:02.237000,26.9,66.0,1014.2,0,32.5,265,2.2,0,0.0,0.0,0.3333333333333333,0.5,0
GAS,10,Alpine,3.0,1.0,SOFT,3.0,0.0,107.142,22.054,43.879,41.209,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:24:02.236000,26.9,66.0,1014.2,0,32.5,252,1.7,0,0.0,21.747,0.5,1.0,0
GAS,10,Alpine,5.0,2.0,SOFT,2.0,0.0,84.6,17.298,36.43,30.872,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:31:02.322000,26.8,66.0,1014.5,0,32.3,307,1.7,0,92.379,-22.542,0.3333333333333333,0.5,0
GAS,10,Alpine,6.0,2.0,SOFT,3.0,0.0,113.85,20.735,46.727,46.388,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:33:02.320000,26.8,65.0,1014.4,0,32.2,266,2.0,0,101.86399999999999,29.25,0.5,1.0,0
