Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,CompoundEncoded,lap_time_mean_3,lap_time_delta,speed_delta,throttle_delta,brake_delta,degradation_score,aggression_score,consistency_score,efficiency_score,drs_usage_intensity,tyre_ratio,stint_progress,session_baseline,LapTimeResidual
VER,1,Red Bull Racing,2.0,1.0,SOFT,2.0,0.0,1,84.16,17.382,36.172,30.606,2023,Abu Dhabi Grand Prix,Q,222.58895705521476,331.0,70.62487947426936,72.41104294478528,40.84857290588474,0.1656441717791411,10348.48773006135,5.610429447852761,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.416575708532505,0.0,0.021507243919781458,331.0,0.3333333333333333,0.5,95.479,-11.319000000000003
VER,1,Red Bull Racing,3.0,1.0,SOFT,3.0,0.0,1,115.663,24.332,48.071,43.26,2023,Abu Dhabi Grand Prix,Q,162.1042654028436,279.0,59.94648072935043,38.46682464454976,39.68459484236807,0.2227488151658767,9202.917061611375,4.023696682464455,1.0,0.0,0.0,31.503,-60.48469165237117,-33.94421830023552,0.0571046433867356,92.21044046753704,29.89838503178275,0.0,0.017612530004096235,279.0,0.5,1.0,95.479,20.183999999999997
VER,1,Red Bull Racing,5.0,2.0,SOFT,5.0,0.0,1,84.554,17.375,36.342,30.837,2023,Abu Dhabi Grand Prix,Q,222.93730407523512,333.0,69.80842486868072,73.7398119122257,39.872256885545134,0.1504702194357366,10404.244514106584,5.626959247648903,1.0,0.0,94.79233333333333,-31.108999999999995,60.833038672391524,35.272987267675944,-0.07227859573014009,-91.79156845295579,62.64416623264316,0.0,0.021425474795233775,333.0,0.8333333333333334,0.5,95.479,-10.924999999999997
VER,1,Red Bull Racing,6.0,2.0,SOFT,6.0,0.0,1,106.259,20.889,45.173,40.197,2023,Abu Dhabi Grand Prix,Q,177.01745635910223,275.0,56.20464566665033,48.73067331670823,43.64421246620807,0.1870324189526184,9565.498753117206,4.468827930174563,1.0,0.0,102.15866666666666,21.705,-45.91984771613289,-25.009138595517477,0.036562199516881805,67.8118801350855,39.61645760909447,0.0,0.01850389164598195,275.0,1.0,1.0,95.479,10.780000000000001
VER,1,Red Bull Racing,8.0,3.0,SOFT,2.0,0.0,1,83.74,17.216,35.965,30.559,2023,Abu Dhabi Grand Prix,Q,224.05921052631575,332.0,69.99559001220614,72.83552631578948,40.48296615734815,0.1611842105263158,10396.769736842103,5.6480263157894735,1.0,0.0,91.51766666666667,-22.519000000000005,47.041754167213526,24.104852999081253,-0.025848208426302616,-69.39956995668722,61.095589508310255,15.058709197670298,0.02154877595840707,332.0,0.3333333333333333,0.5,95.479,-11.739000000000004
VER,1,Red Bull Racing,9.0,3.0,SOFT,3.0,0.0,1,110.588,21.895,46.87,41.823,2023,Abu Dhabi Grand Prix,Q,169.27610208816705,275.0,54.90795985527621,41.99767981438515,39.71904228686305,0.1670533642691415,9205.22505800464,4.433874709976799,1.0,0.0,100.19566666666667,26.848,-54.7831084381487,-30.83784650140433,0.005869153742825706,81.79816180241784,34.981826109893895,14.995396183495789,0.018387134902919263,275.0,0.5,1.0,95.479,15.108999999999995
VER,1,Red Bull Racing,11.0,4.0,SOFT,2.0,0.0,1,83.445,17.151,35.894,30.4,2023,Abu Dhabi Grand Prix,Q,226.9009584664537,329.0,67.82202221842361,74.94888178913737,39.65739422875421,0.1469648562300319,10466.741214057509,5.741214057507987,1.0,0.0,92.591,-27.143,57.62485637828664,32.95120197475222,-0.02008850803910961,-84.62089152205661,63.934030152395145,13.518020258159108,0.021676210160960052,329.0,0.3333333333333333,0.5,95.479,-12.034000000000006
VER,1,Red Bull Racing,12.0,4.0,SOFT,3.0,0.0,1,102.65,19.458,43.34,39.852,2023,Abu Dhabi Grand Prix,Q,181.63072776280325,277.0,60.70977502002823,49.0,43.64023682646864,0.1752021563342318,9521.574123989218,4.654986522911051,1.0,0.0,98.89433333333334,19.205000000000013,-45.27023070365044,-25.948881789137374,0.02823730010419992,64.65043285998469,40.41509433962264,12.857732354501714,0.019073700597954928,277.0,0.5,1.0,95.479,7.1710000000000065
VER,1,Red Bull Racing,14.0,5.0,SOFT,2.0,0.0,1,83.55,17.078,35.975,30.497,2023,Abu Dhabi Grand Prix,Q,226.62582781456956,331.0,68.70357915843654,76.21523178807946,38.63729499543202,0.1390728476821192,10494.586092715232,5.701986754966887,1.0,0.0,89.88166666666666,-19.10000000000001,44.995100051766315,27.215231788079464,-0.03612930865211261,-63.9560272040842,65.61576246655848,12.928625441244709,0.02159248905326648,331.0,0.3333333333333333,0.5,95.479,-11.929000000000002
VER,1,Red Bull Racing,15.0,5.0,SOFT,3.0,0.0,1,115.411,22.145,49.324,43.942,2023,Abu Dhabi Grand Prix,Q,159.84772727272727,282.0,64.18177484779754,36.5,40.9272926075282,0.1704545454545454,8781.584090909091,4.275,1.0,0.0,100.53699999999999,31.861000000000004,-66.77810054184229,-39.715231788079464,0.03138169777242619,98.80955508729684,30.278409090909093,14.979175067406091,0.018200534787726846,282.0,0.5,1.0,95.479,19.932000000000002
