year,gp,session_code,Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,PitOutTime,PitInTime,Deleted,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,is_sc,is_vsc,is_yellow,quali_position,grid_position,gap_to_pole_ms,CompoundEncoded,lap_time_prev,lap_time_mean_3_prev,lap_time_delta_prev,lap_time_std_5_prev,speed_mean_prev,speed_mean_delta_prev,speed_max_prev,speed_max_delta_prev,speed_std_prev,speed_std_delta_prev,throttle_mean_prev,throttle_mean_delta_prev,throttle_std_prev,throttle_std_delta_prev,brake_ratio_prev,brake_ratio_delta_prev,rpm_mean_prev,rpm_mean_delta_prev,gear_mean_prev,gear_mean_delta_prev,drs_ratio_prev,drs_ratio_delta_prev,degradation_score_prev,aggression_score_prev,efficiency_score_prev,drs_usage_intensity_prev,consistency_score_prev,tyre_ratio,stint_progress,LapNumber_pct,tyre_x_progress,compound_x_tyre,regulation_era,is_neutralized,laps_since_neutralization,temp_delta,session_baseline,LapTimeResidual,avg_residual_last_3_races
2022,Abu Dhabi Grand Prix,Q,MAG,20,Haas F1 Team,2,1.0,SOFT,2.0,,1,86.417,,,False,219.5308641975309,324.0,69.5713699379301,74.48456790123457,39.36606492417766,0.1388888888888889,10401.956790123457,5.679012345679013,0.2191358024691358,28.9,34.2,69.0,1014.5,0.0,1.6,357.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,0.5,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.9000000000000057,
2022,Abu Dhabi Grand Prix,Q,TSU,22,AlphaTauri,2,1.0,SOFT,2.0,,1,86.135,,,False,219.46769230769232,326.0,68.5693059947116,72.67076923076922,40.32513584845786,0.1384615384615384,10446.415384615384,5.48,0.1846153846153846,28.9,34.2,69.0,1014.5,0.0,1.6,357.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.6180000000000092,
2022,Abu Dhabi Grand Prix,Q,ALB,23,Williams,2,1.0,SOFT,2.0,,1,86.507,,,False,219.0404984423676,331.0,72.72015009439116,69.5233644859813,41.88362130528901,0.1838006230529595,10344.778816199378,5.775700934579439,0.2180685358255451,28.9,34.2,69.0,1014.5,0.0,1.6,357.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.9900000000000091,
2022,Abu Dhabi Grand Prix,Q,ZHO,24,Alfa Romeo,2,1.0,SOFT,2.0,,12,86.199,,,False,218.737003058104,322.0,67.67754161347432,73.70642201834862,39.11426616372696,0.128440366972477,10198.565749235477,5.752293577981652,0.2140672782874617,28.9,34.2,69.0,1014.5,0.0,1.7,26.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.6820000000000022,
2022,Abu Dhabi Grand Prix,Q,OCO,31,Alpine,2,1.0,SOFT,2.0,,12,85.735,,,False,219.76576576576576,324.0,68.10635131577214,73.71171171171171,39.43136191132256,0.1351351351351351,10239.846846846847,5.471471471471472,0.2042042042042042,28.9,34.2,69.0,1014.5,0.0,1.7,26.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.21800000000000352,
2022,Abu Dhabi Grand Prix,Q,HAM,44,Mercedes,2,1.0,SOFT,2.0,,12,85.594,,,False,219.64723926380367,321.0,69.32959036405157,74.67791411042944,38.18397493035306,0.1441717791411043,10354.794478527609,5.828220858895706,0.2147239263803681,28.9,34.2,69.0,1014.5,0.0,1.7,26.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.25,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.07699999999999818,
2022,Abu Dhabi Grand Prix,Q,MSC,47,Haas F1 Team,2,1.0,SOFT,2.0,,1,86.265,,,False,217.203125,325.0,69.38425550392435,72.965625,39.67867101828677,0.153125,10379.971875,5.625,0.20625,28.9,34.2,69.0,1014.5,0.0,1.6,357.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,0.5,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.7480000000000047,
2022,Abu Dhabi Grand Prix,Q,RUS,63,Mercedes,2,1.0,SOFT,2.0,,12,85.545,,,False,218.3109756097561,321.0,68.77606885212106,73.14939024390245,40.12296389903123,0.1646341463414634,10335.975609756097,5.743902439024391,0.2134146341463414,28.9,34.2,69.0,1014.5,0.0,1.7,26.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.25,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.028000000000005798,
2022,Abu Dhabi Grand Prix,Q,BOT,77,Alfa Romeo,2,1.0,SOFT,2.0,,12,86.5,,,False,216.516717325228,324.0,70.82519183840797,73.11854103343465,39.86005920487508,0.1580547112462006,10251.69604863222,5.671732522796352,0.2188449848024316,28.9,34.2,69.0,1014.5,0.0,1.7,26.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.9830000000000041,
2022,Abu Dhabi Grand Prix,Q,SAI,55,Ferrari,3,1.0,SOFT,3.0,,12,85.09,,,False,221.2336448598131,326.0,69.38528024362215,74.04361370716511,38.94649331968555,0.1557632398753894,10406.507788161996,5.725856697819315,0.2149532710280373,28.9,34.1,69.0,1014.5,0.0,1.8,1.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.5,1.0,0.15,0.44999999999999996,0.0,0,0,100,5.200000000000003,85.517,-0.4269999999999925,
2022,Abu Dhabi Grand Prix,Q,LEC,16,Ferrari,4,1.0,SOFT,4.0,,1,85.343,,,False,219.5136778115501,326.0,70.10289015931198,75.58966565349544,36.320289501338536,0.1519756838905775,10488.9452887538,5.604863221884498,0.2097264437689969,28.9,34.1,68.0,1014.5,0.0,1.8,304.0,0,0,0,,,,0.0,85.211,85.211,,,219.13761467889907,,328.0,,70.46808456854102,,74.6788990825688,,37.17630373666079,,0.1620795107033639,,10534.932721712536,,5.602446483180428,,0.1987767584097859,,0.1620795107033639,62.574979659400164,0.02079907118496481,65.19877675840978,,0.5714285714285714,1.0,0.2,0.8,0.0,0,0,101,5.200000000000003,85.517,-0.17399999999999238,
2022,Abu Dhabi Grand Prix,Q,RIC,3,McLaren,5,2.0,SOFT,2.0,,1,85.766,,,False,218.9567901234568,322.0,68.3457200270181,69.75617283950618,41.40024893563905,0.1543209876543209,10497.447530864198,5.524691358024692,0.1975308641975308,28.9,33.8,69.0,1014.7,0.0,1.5,305.0,0,0,0,,,,0.0,85.77,85.77,,,217.29357798165137,,319.0,,68.41487067285384,,71.5474006116208,,40.03836409059034,,0.1223241590214067,,10514.015290519876,,5.409785932721713,,0.1896024464831804,,0.1223241590214067,62.79542500163661,0.020665074845640865,60.483180428134546,,0.4,1.0,0.25,0.5,0.0,0,0,101,4.899999999999999,85.517,0.24900000000000944,
2022,Abu Dhabi Grand Prix,Q,NOR,4,McLaren,5,2.0,SOFT,5.0,,1,85.387,,,False,220.41455696202533,320.0,68.17332469610496,71.93354430379746,40.97872481032775,0.1487341772151898,10439.93670886076,5.5886075949367084,0.2151898734177215,28.9,33.8,69.0,1014.7,0.0,1.5,305.0,0,0,0,,,,0.0,85.582,85.582,,,216.8067484662577,,321.0,,67.33395132080042,,72.17791411042944,,40.777357253244766,,0.1380368098159509,,10450.840490797544,,5.515337423312883,,0.1901840490797546,,0.1380368098159509,62.214705107456055,0.020743403868165415,61.04907975460123,,1.0,1.0,0.25,1.25,0.0,0,0,101,4.899999999999999,85.517,-0.12999999999999545,
2022,Abu Dhabi Grand Prix,Q,VET,5,Aston Martin,5,1.0,SOFT,5.0,,12,86.26,,,False,218.22699386503064,320.0,68.672672931456,72.4079754601227,39.80887953764176,0.1625766871165644,10283.90490797546,5.837423312883436,0.2147239263803681,28.9,34.1,69.0,1014.5,0.0,1.8,1.0,0,0,0,,,,0.0,86.285,86.285,,,216.96594427244585,,315.0,,67.6271433200029,,70.78637770897832,,40.03407942890965,,0.1609907120743034,,10288.934984520123,,5.792569659442725,,0.2105263157894736,,0.1609907120743034,59.390428356449306,0.021085259002981367,66.31578947368418,,1.0,1.0,0.25,1.25,0.0,0,0,101,5.200000000000003,85.517,0.7430000000000092,
2022,Abu Dhabi Grand Prix,Q,LAT,6,Williams,5,2.0,SOFT,2.0,,12,86.746,,,False,216.539393939394,331.0,73.82201523097478,69.37272727272727,41.647644658603255,0.1969696969696969,10239.063636363637,5.757575757575758,0.1939393939393939,28.9,34.1,69.0,1014.5,0.0,1.8,1.0,0,0,0,,,,0.0,86.841,86.841,,,215.20743034055727,,328.0,,72.4278416270651,,69.28482972136223,,41.05524968760888,,0.2105263157894736,,10246.777089783282,,5.739938080495356,,0.1888544891640866,,0.2105263157894736,54.69854978002282,0.0210004012045805,61.9442724458204,,1.0,1.0,0.25,0.5,0.0,0,0,101,5.200000000000003,85.517,1.2289999999999992,
2022,Abu Dhabi Grand Prix,Q,GAS,10,AlphaTauri,5,2.0,SOFT,2.0,,1,85.859,,,False,219.22822822822823,325.0,70.49439554444503,73.43843843843844,39.709410889823474,0.1321321321321321,10493.234234234234,5.42942942942943,0.2132132132132132,28.9,34.1,69.0,1014.7,0.0,2.2,324.0,0,0,0,,,,0.0,86.318,86.318,,,216.5679012345679,,323.0,,69.03970917710738,,72.50617283950618,,39.98169037813752,,0.1358024691358024,,10429.574074074077,,5.404320987654321,,0.1882716049382716,,0.1358024691358024,62.659655540313985,0.02076279787637601,60.81172839506173,,1.0,1.0,0.25,0.5,0.0,0,0,101,5.200000000000003,85.517,0.34199999999999875,
