gp,rmse_local_optuna,mae_local_optuna,r2_local_optuna,rows
Monaco Grand Prix,0.6434792266549997,0.4264012411664812,0.9969886784378269,1842
Japanese Grand Prix,0.6324821178381137,0.3397702337680377,0.9959174933411056,956
Belgian Grand Prix,0.9221314989128045,0.5521422009536523,0.988374343454906,1043
British Grand Prix,0.6597967634866891,0.3817283732402816,0.9976170744818528,1238
Azerbaijan Grand Prix,0.5659028002717957,0.3115863768272508,0.9960116478297317,1141
