Driver,LapTime,Compound,TyreLife,Position,lap_time_mean_3,lap_time_delta,tyre_ratio
VER,84.238,1.0,1.0,1.0,0.0,0.0,0.01818181818181818
VER,79.367,1.0,2.0,1.0,0.0,-4.870999999999995,0.03636363636363636
VER,79.074,1.0,3.0,1.0,80.893,-0.29300000000000637,0.05454545454545454
VER,78.129,1.0,4.0,1.0,78.85666666666667,-0.9449999999999932,0.07272727272727272
VER,78.019,1.0,5.0,1.0,78.40733333333333,-0.10999999999999943,0.09090909090909091
VER,77.64,1.0,6.0,1.0,77.92933333333333,-0.3790000000000049,0.10909090909090909
VER,77.633,1.0,7.0,1.0,77.764,-0.007000000000005002,0.12727272727272726
VER,77.397,1.0,8.0,1.0,77.55666666666666,-0.23599999999999,0.14545454545454545
VER,77.031,1.0,9.0,1.0,77.35366666666667,-0.36599999999999966,0.16363636363636364
VER,77.084,1.0,10.0,1.0,77.17066666666666,0.05299999999999727,0.18181818181818182
VER,76.858,1.0,11.0,1.0,76.991,-0.2259999999999991,0.2
VER,76.993,1.0,12.0,1.0,76.97833333333334,0.1349999999999909,0.21818181818181817
VER,77.434,1.0,13.0,1.0,77.095,0.4410000000000025,0.23636363636363636
VER,77.065,1.0,14.0,1.0,77.164,-0.3689999999999998,0.2545454545454545
VER,77.079,1.0,15.0,1.0,77.19266666666665,0.013999999999995794,0.2727272727272727
VER,76.824,1.0,16.0,1.0,76.98933333333333,-0.25499999999999545,0.2909090909090909
VER,76.86,1.0,17.0,1.0,76.92099999999999,0.036000000000001364,0.3090909090909091
VER,76.712,1.0,18.0,1.0,76.79866666666666,-0.14799999999999613,0.32727272727272727
VER,76.823,1.0,19.0,1.0,76.79833333333333,0.11099999999999,0.34545454545454546
VER,77.214,1.0,20.0,1.0,76.91633333333333,0.39100000000000534,0.36363636363636365
VER,76.803,1.0,21.0,1.0,76.94666666666666,-0.41100000000000136,0.38181818181818183
VER,76.659,1.0,22.0,1.0,76.89200000000001,-0.14399999999999125,0.4
VER,76.604,1.0,23.0,1.0,76.68866666666666,-0.05500000000000682,0.41818181818181815
VER,76.798,1.0,24.0,1.0,76.687,0.19400000000000261,0.43636363636363634
VER,77.183,1.0,25.0,1.0,76.86166666666666,0.3850000000000051,0.45454545454545453
VER,77.212,1.0,26.0,1.0,77.06433333333332,0.028999999999996362,0.4727272727272727
VER,77.259,1.0,27.0,1.0,77.218,0.046999999999997044,0.4909090909090909
VER,77.77,1.0,28.0,1.0,77.41366666666666,0.5109999999999957,0.509090909090909
