Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,1.0,1,92.597,29.586,37.463,25.548000000000002,2023,Pre-Season Testing,R,227.19130434782608,296.0,66.43508314891338,70.86086956521739,41.46683045895148,0.1246376811594203,10345.733333333334,5.721739130434782,0.0
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,1.0,1,92.687,29.742,37.389,25.556,2023,Pre-Season Testing,R,224.34831460674158,297.0,67.69868638309401,70.8314606741573,41.38850243966854,0.1348314606741573,10332.308988764045,5.643258426966292,0.0
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,1.0,1,92.678,29.703,37.319,25.656,2023,Pre-Season Testing,R,226.4265129682997,301.0,66.31552002936421,72.21325648414985,40.243701945783734,0.14121037463976946,10392.374639769452,5.662824207492795,0.0
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,1.0,1,93.046,30.031,37.422,25.593,2023,Pre-Season Testing,R,226.63235294117646,297.0,67.10488079786532,70.51764705882353,41.02517013271046,0.15,10355.579411764706,5.694117647058824,0.0
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,1.0,1,92.99,29.96,37.469,25.561,2023,Pre-Season Testing,R,224.00862068965517,297.0,68.11519684140477,70.5,40.86588030265178,0.14080459770114942,10299.451149425287,5.635057471264368,0.0
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,1.0,1,92.808,29.914,37.373,25.521,2023,Pre-Season Testing,R,222.53846153846155,296.0,67.57297073258192,68.55270655270655,41.52014226953244,0.15384615384615385,10190.435897435897,5.666666666666667,0.0
VER,1,Red Bull Racing,17.0,1.0,MEDIUM,17.0,1.0,1,92.603,29.803,37.276,25.524,2023,Pre-Season Testing,R,225.2912087912088,296.0,67.87366996131041,70.34615384615384,41.377266639215556,0.14560439560439561,10321.186813186812,5.706043956043956,0.0
VER,1,Red Bull Racing,18.0,1.0,MEDIUM,18.0,1.0,1,92.507,29.877,37.283,25.347,2023,Pre-Season Testing,R,226.39488636363637,296.0,67.44634061730194,71.72727272727273,40.700203986056444,0.13352272727272727,10287.477272727272,5.75,0.0
VER,1,Red Bull Racing,19.0,1.0,MEDIUM,19.0,1.0,1,92.338,29.799,37.24,25.299,2023,Pre-Season Testing,R,223.95689655172413,298.0,67.89104581722404,70.99712643678161,40.7536705486583,0.14942528735632185,10245.431034482759,5.718390804597701,0.0
VER,1,Red Bull Racing,20.0,1.0,MEDIUM,20.0,1.0,1,92.295,29.772,37.273,25.25,2023,Pre-Season Testing,R,231.03197674418604,297.0,65.85611686871384,72.75290697674419,40.1706272270722,0.12790697674418605,10372.473837209302,5.8604651162790695,0.0
VER,1,Red Bull Racing,21.0,1.0,MEDIUM,21.0,1.0,1,92.494,29.903,37.239,25.352,2023,Pre-Season Testing,R,222.68249258160236,298.0,68.98992823978331,70.26706231454006,41.033376527663265,0.142433234421365,10301.062314540059,5.5905044510385755,0.0
VER,1,Red Bull Racing,22.0,1.0,MEDIUM,22.0,1.0,1,92.184,29.664,37.134,25.386,2023,Pre-Season Testing,R,227.1453488372093,297.0,67.35889543802024,70.74127906976744,41.31257419596851,0.15406976744186046,10306.933139534884,5.784883720930233,0.0
VER,1,Red Bull Racing,23.0,1.0,MEDIUM,23.0,1.0,1,92.272,29.759,37.172,25.341,2023,Pre-Season Testing,R,226.53799392097264,298.0,67.00977756914148,71.37993920972644,40.839345701337656,0.1458966565349544,10239.419452887538,5.787234042553192,0.0
VER,1,Red Bull Racing,24.0,1.0,MEDIUM,24.0,1.0,1,92.35,29.872,37.108,25.37,2023,Pre-Season Testing,R,226.05217391304348,298.0,68.11231876572758,71.18840579710145,40.83377939405428,0.1536231884057971,10369.368115942028,5.6695652173913045,0.0
