Driver,LapTime,Compound,TyreLife,Position
GAS,96.252,INTERMEDIATE,12.0,7.0
GAS,94.612,INTERMEDIATE,13.0,7.0
GAS,93.318,INTERMEDIATE,14.0,7.0
GAS,96.097,INTERMEDIATE,15.0,7.0
GAS,91.098,INTERMEDIATE,16.0,7.0
GAS,90.098,INTERMEDIATE,17.0,7.0
GAS,89.916,INTERMEDIATE,18.0,7.0
GAS,88.128,INTERMEDIATE,19.0,7.0
GAS,87.856,INTERMEDIATE,20.0,7.0
GAS,86.378,INTERMEDIATE,21.0,7.0
GAS,86.077,INTERMEDIATE,22.0,7.0
GAS,85.607,INTERMEDIATE,23.0,7.0
GAS,86.578,INTERMEDIATE,24.0,7.0
PER,118.19,MEDIUM,1.0,18.0
PER,79.704,HARD,1.0,18.0
PER,76.387,HARD,2.0,18.0
PER,76.535,HARD,3.0,18.0
PER,76.269,HARD,4.0,18.0
PER,76.458,HARD,5.0,18.0
PER,77.399,HARD,6.0,18.0
PER,77.937,HARD,7.0,18.0
PER,78.254,HARD,8.0,18.0
PER,79.787,HARD,9.0,18.0
PER,79.848,HARD,10.0,18.0
PER,80.433,HARD,11.0,18.0
PER,80.797,HARD,12.0,18.0
PER,80.283,HARD,13.0,18.0
PER,80.418,HARD,14.0,18.0
PER,80.487,HARD,15.0,18.0
PER,81.315,HARD,16.0,17.0
PER,78.092,HARD,17.0,16.0
PER,77.867,HARD,18.0,16.0
PER,77.979,HARD,19.0,16.0
PER,78.523,HARD,20.0,16.0
PER,78.803,HARD,21.0,16.0
PER,78.604,HARD,22.0,16.0
PER,78.624,HARD,23.0,16.0
PER,78.541,HARD,24.0,16.0
PER,79.877,HARD,25.0,16.0
PER,79.319,HARD,26.0,16.0
PER,79.611,HARD,27.0,16.0
PER,79.986,HARD,28.0,16.0
PER,80.771,HARD,29.0,16.0
PER,79.292,HARD,30.0,15.0
PER,79.607,HARD,31.0,15.0
PER,82.083,HARD,32.0,16.0
PER,106.451,HARD,33.0,19.0
PER,79.581,MEDIUM,2.0,19.0
PER,76.882,MEDIUM,3.0,19.0
PER,76.706,MEDIUM,4.0,19.0
PER,76.353,MEDIUM,5.0,19.0
PER,76.445,MEDIUM,6.0,19.0
PER,76.755,MEDIUM,7.0,19.0
PER,77.959,MEDIUM,8.0,19.0
PER,77.46,MEDIUM,9.0,19.0
PER,77.847,MEDIUM,10.0,19.0
PER,77.616,MEDIUM,11.0,19.0
PER,77.128,MEDIUM,12.0,19.0
PER,77.047,MEDIUM,13.0,19.0
PER,76.859,MEDIUM,14.0,19.0
PER,76.98,MEDIUM,15.0,19.0
PER,78.524,MEDIUM,16.0,19.0
PER,84.856,MEDIUM,17.0,19.0
PER,85.645,MEDIUM,18.0,17.0
PER,98.2,MEDIUM,19.0,15.0
PER,115.544,MEDIUM,20.0,19.0
PER,102.332,INTERMEDIATE,1.0,17.0
PER,100.446,INTERMEDIATE,2.0,17.0
PER,105.055,INTERMEDIATE,3.0,16.0
PER,125.839,INTERMEDIATE,4.0,17.0
PER,105.989,WET,1.0,17.0
PER,100.595,WET,2.0,16.0
PER,101.082,WET,3.0,16.0
PER,101.22,WET,4.0,16.0
PER,99.631,WET,5.0,16.0
PER,99.405,WET,6.0,16.0
PER,97.112,WET,7.0,16.0
PER,97.675,WET,8.0,16.0
PER,96.451,WET,9.0,16.0
PER,95.957,WET,10.0,16.0
PER,96.297,WET,11.0,16.0
PER,95.708,WET,12.0,16.0
PER,118.066,WET,13.0,17.0
PER,96.744,INTERMEDIATE,1.0,17.0
PER,89.537,INTERMEDIATE,2.0,17.0
PER,86.82,INTERMEDIATE,3.0,17.0
PER,85.704,INTERMEDIATE,4.0,17.0
PER,94.148,INTERMEDIATE,5.0,17.0
PER,90.273,INTERMEDIATE,6.0,17.0
ALO,85.527,HARD,2.0,2.0
ALO,79.646,HARD,3.0,2.0
ALO,79.113,HARD,4.0,2.0
ALO,78.776,HARD,5.0,2.0
ALO,77.939,HARD,6.0,2.0
ALO,77.952,HARD,7.0,2.0
ALO,77.505,HARD,8.0,2.0
ALO,77.391,HARD,9.0,2.0
ALO,77.783,HARD,10.0,2.0
ALO,77.324,HARD,11.0,2.0
ALO,77.249,HARD,12.0,2.0
ALO,77.588,HARD,13.0,2.0
ALO,78.443,HARD,14.0,2.0
ALO,77.508,HARD,15.0,2.0
ALO,77.444,HARD,16.0,2.0
ALO,77.17,HARD,17.0,2.0
ALO,77.699,HARD,18.0,2.0
ALO,77.528,HARD,19.0,2.0
ALO,77.258,HARD,20.0,2.0
ALO,77.13,HARD,21.0,2.0
ALO,77.664,HARD,22.0,2.0
ALO,77.947,HARD,23.0,2.0
ALO,77.272,HARD,24.0,2.0
ALO,77.285,HARD,25.0,2.0
ALO,77.182,HARD,26.0,2.0
ALO,77.141,HARD,27.0,2.0
ALO,77.228,HARD,28.0,2.0
ALO,77.562,HARD,29.0,2.0
ALO,77.111,HARD,30.0,2.0
ALO,76.965,HARD,31.0,2.0
ALO,77.259,HARD,32.0,2.0
ALO,77.637,HARD,33.0,2.0
ALO,77.816,HARD,34.0,2.0
ALO,79.297,HARD,35.0,2.0
ALO,78.634,HARD,36.0,2.0
ALO,77.876,HARD,37.0,2.0
ALO,77.974,HARD,38.0,2.0
ALO,77.141,HARD,39.0,2.0
ALO,77.705,HARD,40.0,2.0
ALO,77.63,HARD,41.0,2.0
ALO,77.016,HARD,42.0,2.0
ALO,76.719,HARD,43.0,2.0
ALO,76.674,HARD,44.0,2.0
ALO,76.919,HARD,45.0,2.0
ALO,76.862,HARD,46.0,2.0
ALO,77.114,HARD,47.0,2.0
ALO,77.108,HARD,48.0,2.0
ALO,76.931,HARD,49.0,2.0
ALO,76.992,HARD,50.0,2.0
ALO,77.408,HARD,51.0,2.0
ALO,79.991,HARD,52.0,2.0
ALO,84.967,HARD,53.0,2.0
ALO,90.862,HARD,54.0,2.0
ALO,110.311,HARD,55.0,2.0
ALO,126.635,MEDIUM,2.0,2.0
ALO,108.531,INTERMEDIATE,1.0,2.0
ALO,102.581,INTERMEDIATE,2.0,2.0
ALO,101.267,INTERMEDIATE,3.0,2.0
ALO,100.897,INTERMEDIATE,4.0,2.0
ALO,100.638,INTERMEDIATE,5.0,2.0
ALO,102.727,INTERMEDIATE,6.0,2.0
ALO,100.467,INTERMEDIATE,7.0,2.0
ALO,99.671,INTERMEDIATE,8.0,2.0
ALO,98.135,INTERMEDIATE,9.0,2.0
ALO,97.64,INTERMEDIATE,10.0,2.0
ALO,96.332,INTERMEDIATE,11.0,2.0
ALO,93.205,INTERMEDIATE,12.0,2.0
ALO,92.841,INTERMEDIATE,13.0,2.0
ALO,93.864,INTERMEDIATE,14.0,2.0
ALO,91.23,INTERMEDIATE,15.0,2.0
ALO,91.057,INTERMEDIATE,16.0,2.0
ALO,89.419,INTERMEDIATE,17.0,2.0
ALO,90.346,INTERMEDIATE,18.0,2.0
ALO,87.245,INTERMEDIATE,19.0,2.0
ALO,85.7,INTERMEDIATE,20.0,2.0
ALO,86.931,INTERMEDIATE,21.0,2.0
ALO,84.701,INTERMEDIATE,22.0,2.0
ALO,85.668,INTERMEDIATE,23.0,2.0
LEC,89.108,HARD,1.0,6.0
LEC,80.549,HARD,2.0,6.0
LEC,80.021,HARD,3.0,6.0
LEC,79.468,HARD,4.0,6.0
LEC,78.837,HARD,5.0,6.0
LEC,78.829,HARD,6.0,6.0
LEC,78.645,HARD,7.0,6.0
LEC,79.165,HARD,8.0,6.0
LEC,78.809,HARD,9.0,6.0
LEC,78.219,HARD,10.0,6.0
LEC,78.162,HARD,11.0,6.0
LEC,78.15,HARD,12.0,6.0
LEC,78.018,HARD,13.0,6.0
LEC,78.394,HARD,14.0,6.0
LEC,78.312,HARD,15.0,6.0
