Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,PitInTime,PitOutTime,TrackStatus,IsPersonalBest,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,speed_mean,speed_max,throttle_mean,brake_mean,rpm_mean,gear_mean
VER,1,Red Bull Racing,20.0,1.0,MEDIUM,20.0,True,1.0,77.214,20.207,36.333,20.674,,,1,False,2023,Monaco,R,0 days 01:26:42.737000,25.3,42.0,1013.5,False,39.9,132,0.6,152.986531986532,270.0,46.47811447811448,0.25252525252525254,9314.558922558923,3.7306397306397305
VER,1,Red Bull Racing,21.0,1.0,MEDIUM,21.0,True,1.0,76.803,20.157,36.186,20.46,,,1,False,2023,Monaco,R,0 days 01:28:42.766000,25.3,43.0,1013.5,False,39.7,91,2.0,153.72542372881355,269.0,47.48474576271187,0.2576271186440678,9357.494915254238,3.7288135593220337
VER,1,Red Bull Racing,22.0,1.0,MEDIUM,22.0,True,1.0,76.659,20.084,36.154,20.421,,,1,True,2023,Monaco,R,0 days 01:29:42.780000,25.4,43.0,1013.5,False,39.2,154,1.3,154.42402826855124,269.0,46.985865724381625,0.254416961130742,9345.713780918728,3.7208480565371023
VER,1,Red Bull Racing,23.0,1.0,MEDIUM,23.0,True,1.0,76.604,20.208,36.076,20.32,,,1,True,2023,Monaco,R,0 days 01:30:42.779000,25.4,43.0,1013.5,False,39.1,125,1.6,154.01393728222996,270.0,47.73170731707317,0.25435540069686413,9337.32055749129,3.710801393728223
VER,1,Red Bull Racing,24.0,1.0,MEDIUM,24.0,True,1.0,76.798,20.16,36.094,20.544,,,1,False,2023,Monaco,R,0 days 01:32:42.808000,25.4,42.0,1013.4,False,39.0,141,1.1,154.1023890784983,271.0,46.8259385665529,0.2593856655290102,9357.05119453925,3.7542662116040955
VER,1,Red Bull Racing,25.0,1.0,MEDIUM,25.0,True,1.0,77.183,20.245,36.397,20.541,,,1,False,2023,Monaco,R,0 days 01:33:42.823000,25.4,42.0,1013.2,False,39.0,140,1.5,153.76923076923077,270.0,47.31118881118881,0.2517482517482518,9343.227272727272,3.7412587412587412
VER,1,Red Bull Racing,26.0,1.0,MEDIUM,26.0,True,1.0,77.212,20.318,36.387,20.507,,,1,False,2023,Monaco,R,0 days 01:34:42.837000,25.4,42.0,1013.4,False,38.8,152,1.8,150.07692307692307,272.0,45.39464882943144,0.24749163879598662,9177.966555183946,3.678929765886288
VER,1,Red Bull Racing,27.0,1.0,MEDIUM,27.0,True,1.0,77.259,20.263,36.37,20.626,,,1,False,2023,Monaco,R,0 days 01:35:42.852000,25.3,42.0,1013.2,False,38.6,132,1.2,152.5748299319728,274.0,46.11904761904762,0.25510204081632654,9335.71088435374,3.687074829931973
VER,1,Red Bull Racing,28.0,1.0,MEDIUM,28.0,True,1.0,77.77,20.336,36.715,20.719,,,1,False,2023,Monaco,R,0 days 01:37:42.850000,25.4,42.0,1013.4,False,39.1,158,1.2,152.5938566552901,272.0,46.23890784982935,0.2525597269624573,9243.788395904437,3.757679180887372
VER,1,Red Bull Racing,29.0,1.0,MEDIUM,29.0,True,1.0,78.001,20.358,36.723,20.92,,,1,False,2023,Monaco,R,0 days 01:38:42.849000,25.4,41.0,1013.2,False,39.1,134,1.0,149.53666666666666,274.0,46.29333333333334,0.26666666666666666,9236.516666666666,3.6433333333333335
VER,1,Red Bull Racing,30.0,1.0,MEDIUM,30.0,True,1.0,78.16,20.292,36.888,20.98,,,1,False,2023,Monaco,R,0 days 01:39:42.848000,25.4,41.0,1013.2,False,38.9,166,0.8,151.6418918918919,273.0,45.63175675675676,0.2635135135135135,9257.212837837838,3.6554054054054053
VER,1,Red Bull Racing,31.0,1.0,MEDIUM,31.0,True,1.0,78.741,20.522,37.201,21.018,,,1,False,2023,Monaco,R,0 days 01:41:42.846000,25.6,41.0,1013.4,False,38.6,168,0.8,150.41216216216216,271.0,45.80067567567568,0.23986486486486486,9205.358108108108,3.6655405405405403
VER,1,Red Bull Racing,32.0,1.0,MEDIUM,32.0,True,1.0,78.816,20.514,37.616,20.686,,,1,False,2023,Monaco,R,0 days 01:42:42.844000,25.6,40.0,1013.4,False,38.4,110,1.0,151.39935064935065,271.0,45.8051948051948,0.2792207792207792,9254.756493506493,3.6720779220779223
VER,1,Red Bull Racing,33.0,1.0,MEDIUM,33.0,True,1.0,78.946,20.388,37.184,21.374,,,1,False,2023,Monaco,R,0 days 01:43:42.843000,25.6,40.0,1013.5,False,38.4,137,1.0,149.91103202846975,273.0,46.12811387900356,0.27402135231316727,9300.807829181495,3.622775800711744
