year,gp,session_code,Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,PitOutTime,PitInTime,Deleted,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,avg_distance_to_car_ahead,dirty_air_pct,dirty_air_score_mean,cornering_intensity,brake_pressure_mean,accel_proxy_std,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,is_sc,is_vsc,is_yellow,quali_position,grid_position,gap_to_pole_ms
2026,Australian Grand Prix,R,NOR,1,McLaren,1,1.0,MEDIUM,1.0,6.0,1,96.458,,,False,196.11177235877952,333.0,77.19048091261485,53.181490791949145,42.078839741846465,0.19137466307277629,11003.29787565159,4.789757412398922,0.0,11.348788538908655,1.0,0.9054267621757612,0.04026660397600227,19.137466307277627,4.8316790530577975,24.0,38.0,54.0,1012.9,0.0,3.4,129.0,0,0,1,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,2,1.0,MEDIUM,2.0,6.0,1,87.344,,,False,214.63122330748175,325.0,68.1809383864263,58.40971509977075,43.575413979607625,0.1691616766467066,10956.518388925786,5.416167664670659,0.0,31.04604701728079,0.9610778443113772,0.7412829415226602,0.034542071905382936,16.91616766467066,6.018586765719469,24.2,36.0,54.4,1012.8,0.0,2.3,135.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,3,1.0,MEDIUM,3.0,7.0,1,86.863,,,False,216.66109903778798,321.0,66.89703097166417,60.807300412955435,43.894168286442735,0.16203703703703703,10988.240056956018,5.466049382716049,0.0,43.57990470603773,0.933641975308642,0.6368341274496857,0.0448211226991254,16.203703703703702,5.141320655041863,24.1,36.1,54.1,1012.9,0.0,1.6,112.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,4,1.0,MEDIUM,4.0,7.0,1,85.857,,,False,219.1254555793667,315.0,64.12939130382703,62.31084817672298,43.97255301680079,0.1386748844375963,10998.437980172568,5.574730354391371,0.0,46.735679012098686,0.8043143297380585,0.6166825015128528,0.035155655831634755,13.86748844375963,4.852016055888385,24.1,36.1,54.1,1012.9,0.0,1.6,112.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,5,1.0,MEDIUM,5.0,7.0,1,85.573,,,False,218.3663724087021,329.0,65.14197631839673,58.50595975854427,45.13444846315115,0.14969135802469136,11146.353534483573,5.436728395061729,0.0,53.60051730232808,0.9135802469135802,0.5564647319794562,0.035265078579754805,14.969135802469136,6.7463443906299325,24.1,36.1,54.1,1012.9,0.0,1.6,112.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,6,1.0,MEDIUM,6.0,7.0,1,85.036,,,False,221.02428596194997,325.0,67.19469813584324,60.32069799290008,44.18725254687161,0.14329738058551617,10913.174444788017,5.662557781201849,0.0,43.35403480306608,1.0,0.6387163766411159,0.03485356148004605,14.329738058551618,5.938077151405695,24.2,35.1,54.2,1012.8,0.0,2.2,127.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,7,1.0,MEDIUM,7.0,7.0,1,84.978,,,False,220.1794588560706,330.0,68.62215017619816,62.60381057266562,43.44633277307478,0.1609375,10900.555203705273,5.6234375,0.0,37.74617405970987,1.0,0.6854485495024177,0.0356233912698541,16.09375,5.891004201722834,24.2,35.1,54.7,1012.6,0.0,3.4,99.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,8,1.0,MEDIUM,8.0,7.0,1,85.299,,,False,220.59219993759638,325.0,67.13234260746222,63.212511316823026,43.632831710972745,0.16062992125984252,10932.467420202229,5.669291338582677,0.0,27.84801705244692,1.0,0.7679331912296089,0.03677810385694086,16.062992125984252,5.197001378222231,24.3,35.8,54.6,1012.5,0.0,2.0,121.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,9,1.0,MEDIUM,9.0,7.0,1,85.639,,,False,218.606732179996,333.0,67.73889750001084,62.03440456321447,43.89674924709151,0.16049382716049382,10972.96824797624,5.587962962962963,0.0,30.833172137692706,1.0,0.7430568988525607,0.03610122018149279,16.049382716049383,5.235875936180436,24.4,38.1,53.7,1012.6,0.0,3.1,121.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,10,1.0,MEDIUM,10.0,7.0,1,85.295,,,False,220.62181301832564,323.0,66.79114088736969,63.851340348606634,43.312749456795565,0.15193798449612403,10988.974462644965,5.6031007751937985,0.0,47.12198234480383,1.0,0.6073168137933014,0.047315275135576096,15.193798449612403,5.116926558210479,24.4,37.6,53.1,1012.5,0.0,2.4,122.0,0,0,0,6.0,6.0,957.0
