year,gp,session_code,Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,PitOutTime,PitInTime,Deleted,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,is_sc,is_vsc,is_yellow,quali_position,grid_position,gap_to_pole_ms
2026,Australian Grand Prix,R,NOR,1,McLaren,16,2.0,HARD,5.0,9.0,1,83.912,,,False,223.24193548387098,317.0,64.05208375326274,63.82258064516129,43.7166235862828,0.14193548387096774,10870.590322580645,5.819354838709677,0.0,24.3,38.4,53.9,1012.3,0.0,3.5,140.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,17,2.0,HARD,6.0,9.0,1,84.053,,,False,222.5775577557756,316.0,64.13287963006832,63.897689768976896,44.25923888221802,0.1551155115511551,10774.287128712871,5.818481848184819,0.0,24.5,39.1,53.5,1012.3,0.0,3.0,119.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,18,2.0,HARD,7.0,5.0,126,95.404,,,False,197.4207492795389,324.0,72.61432227485814,47.674351585014406,43.32870071413927,0.1873198847262248,10872.899135446685,4.884726224783861,0.0,24.6,36.7,52.5,1012.3,0.0,4.1,138.0,1,0,1,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,19,2.0,HARD,8.0,5.0,67,116.07,,,False,163.36155606407323,281.0,53.51212831192751,29.19221967963387,31.07898540530546,0.10983981693363844,10244.636155606408,4.102974828375286,0.0,24.6,36.3,53.1,1012.3,0.0,3.6,137.0,1,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,20,2.0,HARD,9.0,5.0,71,85.774,,,False,219.57632398753893,298.0,59.044114335763425,63.10591900311527,43.95162108621159,0.1277258566978193,10819.57632398754,5.70404984423676,0.0,24.7,35.9,53.3,1012.1,0.0,1.9,133.0,1,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,21,2.0,HARD,10.0,5.0,1,83.972,,,False,222.47923322683707,313.0,61.42731046696613,63.92012779552716,43.4902362751189,0.26198083067092653,10753.642172523962,5.8498402555910545,0.0,24.6,35.7,53.3,1012.1,0.0,3.8,119.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,22,2.0,HARD,11.0,5.0,1,83.687,,,False,225.97993311036788,312.0,62.47366907355681,67.43478260869566,42.68125495302749,0.11705685618729098,10754.10033444816,5.973244147157191,0.0,24.6,35.9,53.1,1012.2,0.0,2.7,123.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,23,2.0,HARD,12.0,5.0,1,83.534,,,False,227.60472972972974,313.0,62.83491292775515,66.23986486486487,43.144611761487354,0.125,10716.618243243243,6.023648648648648,0.0,24.6,36.4,52.8,1012.1,0.0,2.9,111.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,24,2.0,HARD,13.0,5.0,1,83.394,,,False,223.95409836065573,312.0,64.18254592876625,67.85245901639344,42.01794575315322,0.13442622950819672,10771.832786885247,5.872131147540983,0.0,24.6,37.0,53.4,1012.1,0.0,2.1,114.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,25,2.0,HARD,14.0,5.0,1,83.5,,,False,224.22402597402598,315.0,64.54045879542346,66.09740259740259,42.55477703626371,0.13636363636363635,10729.435064935065,5.931818181818182,0.0,24.7,37.5,53.0,1012.0,0.0,1.8,113.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,26,2.0,HARD,15.0,5.0,1,83.403,,,False,226.65495207667732,320.0,63.10534372371393,68.49201277955271,41.957099198816444,0.12460063897763578,10765.61341853035,5.936102236421725,0.0,24.8,37.4,52.7,1012.0,0.0,3.3,106.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,27,2.0,HARD,16.0,5.0,1,83.896,,,False,222.209375,313.0,65.47192970690152,64.6375,43.552654328520106,0.1375,10708.640625,5.86875,0.0,24.9,37.1,52.1,1012.0,0.0,3.3,105.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,28,2.0,HARD,17.0,5.0,1,84.04,,,False,223.59807073954983,316.0,65.90792107768289,65.59163987138264,42.97107572818757,0.1189710610932476,10671.536977491962,5.903536977491961,0.0,24.8,36.5,52.0,1012.0,0.0,2.5,98.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,29,2.0,HARD,18.0,5.0,1,84.08,,,False,223.18327974276528,317.0,66.16510514528038,65.73633440514469,42.91297944194258,0.15112540192926044,10649.781350482315,5.877813504823151,0.0,24.8,36.1,52.8,1012.1,0.0,3.0,120.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,30,2.0,HARD,19.0,5.0,1,83.961,,,False,227.52336448598132,315.0,63.1608085258957,67.2834890965732,41.91170788441056,0.11838006230529595,10762.57632398754,5.978193146417445,0.0,24.9,36.1,53.4,1012.0,0.0,2.8,115.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,31,2.0,HARD,20.0,5.0,1,84.094,,,False,221.93421052631578,315.0,64.84489450935308,65.53947368421052,42.14251815003119,0.13815789473684212,10692.41447368421,5.838815789473684,0.0,25.2,37.3,53.5,1011.9,0.0,1.0,184.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,32,2.0,HARD,21.0,5.0,1,84.075,,,False,224.51147540983607,316.0,64.74926868709309,67.04262295081968,42.248966271285674,0.13114754098360656,10649.816393442623,5.947540983606557,0.0,25.3,37.6,53.0,1011.8,0.0,4.2,131.0,0,0,0,6.0,6.0,957.0
